상품코드,상품명,대분류,중분류,가격,공급업체,재고,사이즈,색상,지점,상태
P16015,카네이션코사지 A,어버이날상품,어버이날컬렉션,"10,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P00019,동양난- 황룡금 AB,플랜트,동서양난,"120,000",자체상품,9997,undefined,undefined,릴리맥NC이스트폴점,활성
0JePfpg2wfzCNk2cDNJv,블랙잭,기타상품,기타,"8,000",희플라워,1,기타,기타,릴리맥NC이스트폴점,재고부족
P14004,일반코사지 Ab,플라워,행사용꽃,"12,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P21005,메세지토퍼 대,자재,드라이플라워카드/토퍼,"8,000",헬로우레인보우,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P15003,축하3단-특 AE,플라워,경조화환,"150,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P00010,"H 분화-테라조 콩고,사파이어,보석금전수",플랜트,중품,"80,000",자체상품,9994,M,Black,릴리맥NC이스트폴점,활성
P16002,카네이션2송이박스Ae,어버이날상품,어버이날컬렉션,"15,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P10008,꽃다발(M)H,플라워,꽃다발,"80,000",자체상품,9933,undefined,undefined,릴리맥NC이스트폴점,활성
P15007,근조3단 A0,플라워,경조화환,"100,000",자체상품,9999,undefined,undefined,릴리맥NC이스트폴점,활성
P13002,용돈박스 (L)F,플라워,플라워박스,"60,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P13007,마카롱박스 (LL)IE,플라워,플라워박스,"95,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P00013,뿔스투키 / 극락조 AH,플랜트,대품,"180,000",자체상품,10000,L,Red,릴리맥NC이스트폴점,활성
P20006,컬러화병,자재,화병/화기,"20,000",이케아,9999,undefined,undefined,릴리맥NC이스트폴점,활성
P12002,센터피스(B) F,플라워,센터피스,"60,000",자체상품,9998,undefined,undefined,릴리맥NC이스트폴점,활성
P00005,분화 D,플랜트,소품,"40,000",자체상품,9940,S,Orange,릴리맥NC이스트폴점,활성
P16016,미니화병꽂이 C,어버이날상품,어버이날컬렉션,"30,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P24001,현대데코 햇박스 대-연블루,자재,바구니,"20,000",현대데코,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P23001,프리저브드 장미 -사각화기,자재,드라이플라워카드/토퍼,"25,000",undefined,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P16013,케리어-향카 Ae,어버이날상품,어버이날컬렉션,"15,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P25005,세척마사 소,자재,원예자재,"5,000",헌인자재,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P16007,포터볼 센터피스 E,어버이날상품,어버이날컬렉션,"50,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P14005,vip코사지-자석 Ae,플라워,행사용꽃,"15,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P25003,분갈이 흙 2리터,자재,원예자재,"2,000",헌인자재,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P16012,카네이션바구니A0,어버이날상품,어버이날컬렉션,"100,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
AONCX5qn2PjLtZziqmuX,오차각,기타상품,기타,"4,000",송광농원,0,기타,기타,릴리맥NC이스트폴점,품절
P10011,꽃다발(LDS)B0,플라워,꽃다발,"200,000",자체상품,9997,undefined,undefined,릴리맥NC이스트폴점,활성
P20002,베레크나 소- 이케아스타일,자재,화병/화기,"12,000",이케아,9988,undefined,undefined,릴리맥NC이스트폴점,활성
P14007,vip코사지-자석+핸드마감 Be,플라워,행사용꽃,"25,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P00008,"F 분화-안스리움,극락조",플랜트,중품,"60,000",자체상품,9991,L,Green/White,릴리맥NC이스트폴점,활성
P26001,종이쇼핑백,자재,포장자재,"2,000",undefined,9523,undefined,undefined,릴리맥NC이스트폴점,활성
P00018,동양난- 황룡금 A0,플랜트,동서양난,"100,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
cK2pLeuu7aI4Zk2YPkl8,미니스투키,기타상품,기타,"3,000",세종식물원,3,기타,기타,릴리맥NC이스트폴점,재고부족
P00003,분화 C,플랜트,소품,"30,000",자체상품,9962,30,파랑,릴리맥NC이스트폴점,활성
P15004,축하4단 B0,플라워,경조화환,"200,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P25008,식물영양제(하이트그린),자재,원예자재,"7,000",헌인자재,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P11003,꽃바구니(Basic)A0,플라워,꽃바구니,"100,000",자체상품,9982,undefined,undefined,릴리맥NC이스트폴점,활성
P16010,용돈박스M+ H,어버이날상품,어버이날컬렉션,"80,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P25004,분갈이 흙 7리터,자재,원예자재,"5,000",헌인자재,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P12004,센터피스(BSS) H,플라워,센터피스,"80,000",자체상품,9997,undefined,undefined,릴리맥NC이스트폴점,활성
P11002,꽃바구니(S)H,플라워,꽃바구니,"80,000",자체상품,9980,undefined,undefined,릴리맥NC이스트폴점,활성
P16011,카네이션바구니H,어버이날상품,어버이날컬렉션,"80,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P20001,카라페 소-이케아스타일,자재,화병/화기,"12,000",이케아,9995,undefined,undefined,릴리맥NC이스트폴점,활성
P20003,목이긴 스트라이프,자재,화병/화기,"15,000",이케아,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P24009,헌인자재 이태리왕골 중,자재,바구니,"20,000",헌인자재,10000,undefined,undefined,릴리맥NC이스트폴점,활성
ExI2j6hjTXriNhtLhFbW,축전,기타상품,기타,"4,000",송광농원,4,기타,기타,릴리맥NC이스트폴점,재고부족
P15010,근조4단 B0,플라워,경조화환,"200,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
EzmIqhnLBM82geg7Vqki,파블로,기타상품,기타,"4,000",희플라워,1,기타,기타,릴리맥NC이스트폴점,재고부족
P00030,다육(소)A,플랜트,소품,"10,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P25006,유리분무기,자재,원예자재,"10,000",undefined,9999,undefined,undefined,릴리맥NC이스트폴점,활성
P24008,헌인자재 이태리왕골 소,자재,바구니,"16,500",헌인자재,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P24005,헌인자재 배불데기,자재,바구니,"13,500",헌인자재,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P14003,사방화-60센티 B0,플라워,행사용꽃,"200,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P16005,포터볼미니센터피스Be,어버이날상품,어버이날컬렉션,"25,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P24007,헌인자재 비너스 중,자재,바구니,"16,500",헌인자재,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P11004,꽃바구니(M)AB,플라워,꽃바구니,"120,000",자체상품,9995,undefined,undefined,릴리맥NC이스트폴점,활성
P25002,싱싱코트,자재,원예자재,"6,000",헌인자재,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P16009,용돈박스M G,어버이날상품,어버이날컬렉션,"70,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P00004,분화 Ce,플랜트,소품,"35,000",자체상품,10000,28,Blue,릴리맥NC이스트폴점,활성
P10005,꽃다발(S)E,플라워,꽃다발,"50,000",자체상품,9882,undefined,undefined,릴리맥NC이스트폴점,활성
P24002,현대데코 햇박스 대-라벤더,자재,바구니,"20,000",현대데코,10000,undefined,undefined,릴리맥NC이스트폴점,활성
hRJTU3yJA8OZS33FDtGH,프리저브드수국,기타상품,기타,"6,930",디자인쁘랭땅,5,기타,기타,릴리맥NC이스트폴점,재고부족
P00027,서양난B0 ,플랜트,동서양난,"200,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P14002,사방화- 40센티 AE,플라워,행사용꽃,"150,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P00009,"G 분화-스투키,파키라",플랜트,중품,"70,000",자체상품,9968,M,Black,릴리맥NC이스트폴점,활성
P11007,"꽃바구니(L,Premium)C0",플라워,꽃바구니,"300,000",자체상품,9999,undefined,undefined,릴리맥NC이스트폴점,활성
P00021,서양난- 만천홍 G,플랜트,동서양난,"90,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P11001,케리어바스켓(S)G,플라워,꽃바구니,"70,000",자체상품,9999,undefined,undefined,릴리맥NC이스트폴점,활성
P11005,꽃바구니(L)AE,플라워,꽃바구니,"150,000",자체상품,9997,undefined,undefined,릴리맥NC이스트폴점,활성
P00014,극락조/뱅갈/떡갈/드라코 B0,플랜트,대품,"200,000",자체상품,9998,L,Red,릴리맥NC이스트폴점,활성
P21001,드라이플라워카드 소,자재,드라이플라워카드/토퍼,"3,000",자체제작,9998,undefined,undefined,릴리맥NC이스트폴점,활성
P16008,용돈박스S F,어버이날상품,어버이날컬렉션,"60,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P20005,카라페-이케아스타일,자재,화병/화기,"18,000",이케아,9997,undefined,undefined,릴리맥NC이스트폴점,활성
P00011,A0분화-화시아타/금전수/스투키,플랜트,중품,"100,000",자체상품,9979,M,Black,릴리맥NC이스트폴점,활성
P21004,메세지토퍼 중,자재,드라이플라워카드/토퍼,"5,000",헬로우레인보우,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P16014,카네이션센터피스 F,어버이날상품,어버이날컬렉션,"60,000",자체상품,9999,undefined,undefined,릴리맥NC이스트폴점,활성
